id,u,v,key,osmid,length,name
1819,2084081327,6061568161,0,356841216,257.216,Juan del la Torre
1820,2084081517,4110473040,0,378704933,10.294,Selva Alegre
1821,2084081650,2084081651,0,198248162,61.840999999999994,
1822,2084081651,5379249145,0,110830641,156.80100000000002,Veliz
1823,2084920833,2084924742,0,198352217,32.448,Avenida Tacna y Arica
1824,2084920833,4371614057,0,198351556,10.063,Avenida Tacna y Arica
1825,2084920833,4371614092,0,439535750,154.925,Avenida Andrés Martinez
1826,2084924739,10917123601,0,683798574,5.935,
1827,2084924739,6405224186,0,683798574,7.725,
1828,2084924739,11007798920,0,426617868,22.912,Avenida Parra
1829,2084924739,5706253146,0,426617868,14.292,Avenida Parra
1830,2084924742,4075627980,0,354696529,8.924,Avenida Tacna y Arica
1831,2084924742,2084924743,0,683798574,11.908,
1832,2084924742,10917232407,0,683798574,7.24,
1833,2084924743,4075627981,0,354696931,12.352,Avenida Tacna y Arica
1834,2084935445,11009127065,0,198353341,6.765,Alameda Mario Vargas Llosa
1835,2084935445,11009127066,0,198370723,6.803,Avenida Salaverry
1836,2084935445,11016923906,0,198353341,173.47,Alameda Mario Vargas Llosa
1837,2084935447,11007798919,0,"[1185046369, 421205708, 198354871]",26.219,Avenida Parra
1838,2084935447,11016923905,0,198370717,145.315,Alameda Mario Vargas Llosa
1839,2084948810,2084948813,0,1185046363,76.957,Avenida Parra
1840,2084948810,5391127563,0,198354871,27.896,Avenida Parra
1841,2084948813,11007837176,0,1185052468,87.193,Avenida Parra
1842,2084948815,7105690911,0,599942003,10.529,Avenida Parra
1843,2084948815,11007837176,0,707112998,79.586,Avenida Parra
1844,2084960170,5391068725,0,426152659,63.725,Avenida Parra
1845,2084960170,5391078162,0,607510807,7.137,
1846,2085078794,11012886975,0,1186004888,13.975,
1847,2085078794,4324703397,0,434310884,220.39399999999998,Calle Sucre
1848,2085078798,11009127065,0,198370724,125.882,Avenida Salaverry
1849,2085078798,10920875902,0,1185165290,7.858,Calle Álvarez Thomas
1850,2085078798,11009127067,0,198370724,7.199,Avenida Salaverry
1851,2085078799,7105673921,0,198370724,14.582,Avenida Salaverry
